cru_ts_405_pre_yearly_mean.2012.max,cru_ts_405_pre_yearly_mean.2013.max,cru_ts_405_pre_yearly_mean.2014.max,cru_ts_405_pre_yearly_mean.2015.max,cru_ts_405_pre_yearly_mean.2016.max,cru_ts_405_pre_yearly_mean.2017.max,cru_ts_405_pre_yearly_mean.2018.max,cru_ts_405_pre_yearly_mean.2019.max,cru_ts_405_pre_yearly_mean.2020.max,id
23.52500091,19.5583334913,12.9250002286,15.0916665724,13.9250002901,15.966667374,20.7250003268,14.6750001609,17.1500004691,0
27.8833342592,23.7416670819,17.8250006139,18.4666670741,13.5333337119,20.3583334666,27.0750005823,17.2583337526,19.2000003618,1
27.8833342592,23.7416670819,17.8250006139,18.4666670741,13.5333337119,20.3583334666,27.0750005823,17.2583337526,19.2000003618,2
46.4000004077,45.8000002106,41.1666672577,40.7416669292,28.1333337228,40.0333344986,51.1750006676,34.2250005882,36.2416674693,3
46.4000004077,45.8000002106,41.1666672577,40.7416669292,28.1333337228,40.0333344986,51.1750006676,34.2250005882,36.2416674693,4
58.6833348523,56.0833339989,58.7000007431,52.8583349387,39.6166679611,50.7000005245,64.0250016252,46.7750011335,43.6750006676,5
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,6
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,7
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,8
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,9
39.1916679405,36.1750009755,32.008333986,31.9916673663,21.9250006489,32.1333338991,41.2250014643,27.1083336274,29.1083337596,10
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,11
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,12
30.0416674366,24.8916665887,19.2250007515,20.1250002962,17.1583335623,21.8750000099,28.2666673213,19.2583339115,21.8166667931,13
37.5500001994,33.8416674932,27.7250004709,26.7083343746,27.8583337069,31.5583340426,38.8333339095,28.2250004212,30.4000005424,14
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,15
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,16
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,17
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,18
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,19
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,20
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,21
85.291667978,95.5166674455,106.40833497,96.4750004808,110.233334447,112.908333937,93.3083337049,64.0416683356,75.8833345175,22
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,23
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,24
39.4166672528,33.8416674932,27.7250004709,27.750000642,30.2749998296,31.6916674823,39.3833343188,29.2000002544,32.0500007967,25
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,26
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,27
70.6166679462,72.2750005722,63.1416673263,62.5250018835,49.9083343248,64.933333834,84.5250011285,58.7000007158,59.8166673283,28
69.2416672471,71.9833340446,56.9750010769,60.5666678051,46.5000015249,60.9499995311,83.2166673342,54.4833344302,59.1250013312,29
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,30
104.516667326,111.533336163,109.166668892,98.3250007629,78.7750016848,92.9750005404,112.008335114,85.0000022352,86.0833349228,31
71.2250007341,68.2333341042,72.4916683038,66.5916674137,50.4166672031,64.6083350976,77.5250015259,60.4500014335,54.516667227,32
104.516667326,111.533336163,109.166668892,98.3250007629,78.7750016848,92.9750005404,112.008335114,85.0000022352,86.0833349228,33
78.1916673382,82.2666680813,81.3166670799,73.1500008901,58.5166680018,70.4500010808,89.0916692416,63.766667972,65.6250012716,34
49.8416676583,46.0750008821,47.1749998828,48.3500007689,34.3083335956,43.5083340307,59.6166682541,41.3083349696,40.8750014628,35
60.3666677556,52.0666682323,57.783333843,64.8333339095,46.8083349864,53.3166669856,71.9166693886,56.8750012716,49.5416671634,36
59.2666687568,53.333334744,58.9833353957,62.2666670879,42.8249999682,54.6166676482,70.5166680813,53.8500010421,49.6750004093,37
172.141668638,184.691667875,183.125003815,160.675001144,126.841669401,156.916666985,198.191669464,136.125001152,148.758335114,38
51.158334313,49.1250004768,47.1916666826,45.0666672786,30.5083334893,41.8833341648,54.3250009318,36.4916677376,37.066667974,39
57.5916672399,58.1666688522,54.0750010014,50.9666674038,36.816666911,49.433334291,63.4500018756,44.0750005127,42.3833339115,40
60.1583334704,54.7583336234,51.5250011285,51.0333343148,49.9000012676,61.53333504,67.3166676362,54.8083347244,47.0833339375,41
17.941666921,16.6416668346,13.7833333015,16.5083335241,12.0250002791,15.016667068,21.4000004431,13.6833336006,14.8500000536,42
63.9333337148,55.4416686694,51.600000898,52.7416664561,55.3000017305,61.675000459,68.0250023206,57.6666682164,52.4000002208,43
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,44
204.050003052,223.716667811,214.483339945,195.016668638,148.708334446,195.691667875,248.450004578,172.900005778,179.575003306,45
32.5416668815,30.5916669667,24.7916670342,30.0333341956,19.6583339473,25.4750001132,37.0416673422,24.0166669687,24.6916671644,46
32.5416668815,30.5916669667,24.4583340784,27.6833337943,18.7000004599,25.4750001132,36.1833342196,23.7750004654,24.4500004003,47
76.450000314,56.3750008345,70.0166691045,77.0250007709,56.2250010173,64.0500015741,82.2500022252,71.4666682879,58.1583333611,48
39.4000003636,38.291666699,34.6333342046,34.9833333443,23.4333336651,32.1166672135,43.6500005225,28.2916670491,29.3750003042,49
31.7500006637,27.6750008812,22.5750007108,23.9000005573,16.1916668819,24.0166669432,32.3750005327,20.3916671599,22.1083334461,50
86.3250029484,83.383334597,79.1833340128,80.0833341281,76.8166671197,89.6916678548,98.9500006437,83.3416700661,71.5583342413,51
61.3000000715,60.4000014067,62.7000015577,53.4333337148,42.2750005921,53.633333842,68.783335646,48.3000006477,47.741667668,52
61.3000000715,60.4000014067,62.7000015577,53.4333337148,42.2750005921,53.633333842,68.783335646,48.3000006477,47.741667668,53
104.516667326,111.533336163,109.166668892,98.3250007629,78.7750016848,92.9750005404,112.008335114,85.0000022352,86.0833349228,54
104.516667326,111.533336163,109.166668892,98.3250007629,78.7750016848,92.9750005404,112.008335114,85.0000022352,86.0833349228,55
204.050003052,223.716667811,214.483339945,195.016668638,148.708334446,195.691667875,248.450004578,172.900005778,179.575003306,56
155.008337021,177.683335304,187.725002289,143.950001399,125.675001383,154.650002678,192.325005372,138.933334986,139.433336576,57
170.958338261,180.050002098,183.125003815,155.466668129,126.841669401,155.350001812,194.966670354,134.766669869,148.175002734,58
107.741666476,116.300000509,105.766668002,101.958334208,83.5583347877,105.11666743,133.650001844,94.491666461,90.7333350579,59
116.950004657,130.975001176,117.183335463,114.016669989,88.5166679223,115.500001431,146.491669655,104.008334915,101.366669575,60
107.741666476,116.300000509,105.766668002,101.958334208,83.5583347877,105.11666743,133.650001844,94.491666461,90.7333350579,61
107.741666476,116.300000509,105.766668002,101.958334208,83.5583347877,105.11666743,133.650001844,94.491666461,90.7333350579,62
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,63
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,64
56.1250006023,50.8166683242,53.500001967,52.391667068,37.7000011851,47.9833337665,63.5500014673,44.7833342484,43.4416665584,65
23.2000003283,20.0250004133,12.8083334267,15.4416666888,15.2583338022,15.8583335479,20.6666669759,14.7166668276,17.9250003857,66
14.5500002565,12.2250001331,4.80833337704,9.53333338102,10.3333336065,9.36666673422,12.5250002543,9.15000011524,11.6666666071,67
116.816668749,118.241667032,117.908336798,97.6000017325,99.7083353599,108.558336079,125.833335936,99.6833355427,101.300001542,68
195.608336449,212.866669973,208.708335559,182.075000127,141.958333651,183.375002861,234.275004069,160.258334756,171.916669846,69
134.108335257,152.758334359,161.899999857,120.291668892,110.808334589,132.42499949,161.766669412,118.808334465,123.041669051,70
14.5500002565,12.2250001331,4.80833337704,9.53333338102,10.3333336065,9.36666673422,12.5250002543,9.15000011524,11.6666666071,71
76.450000314,56.3750008345,70.0166691045,77.0250007709,56.2250010173,64.0500015741,82.2500022252,71.4666682879,58.1583333611,72
131.308336496,161.558337241,173.575003465,126.716668129,120.950002293,145.941670291,167.733333409,128.591670275,127.258334637,73
139.366670688,167.016668955,182.38333416,135.408334096,122.783334494,151.066670169,179.350001891,133.650003235,133.258336385,74
56.1416681707,52.2666668693,46.7083341281,44.858334283,45.933333993,56.0333336492,62.5416676601,49.8666675091,43.8500000834,75
57.5916672399,58.1666688522,54.0750010014,50.9666674038,36.816666911,49.433334291,63.4500018756,44.0750005127,42.3833339115,76
51.158334313,49.1250004768,47.1916666826,45.0666672786,30.5083334893,41.8833341648,54.3250009318,36.4916677376,37.066667974,77
14.3583336174,12.0833333315,5.36666668455,9.13333365135,9.00000035763,9.34166671832,12.0583334217,9.01666666071,10.6250000944,78
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,79
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,80
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,81
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,82
69.2416672471,71.9833340446,63.2416671515,61.4166685939,46.5000015249,60.9499995311,83.2166673342,54.4833344302,59.1250013312,83
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,84
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,85
140.366671085,154.300004005,146.058333715,134.983334541,98.7750014464,133.975001812,165.958333651,116.150002738,120.416667302,86
137.150002797,147.058336099,144.616668065,127.841667493,102.716667215,123.700000763,158.591667811,107.733336359,118.458335241,87
142.183334827,147.466668288,151.358335813,128.441667875,105.766667525,126.016669114,160.083337784,108.31666865,121.408334732,88
125.541671212,153.616671056,156.816667875,111.266667684,114.358335361,130.066668924,153.375002608,121.975002428,117.76666975,89
137.150002797,147.058336099,144.616668065,127.841667493,102.716667215,123.700000763,158.591667811,107.733336359,118.458335241,90
18.8416671356,15.0500002801,16.458333691,20.8666668435,17.4833337963,17.5166668575,24.3500002225,15.5083337228,17.8583338584,91
65.9250003379,51.9416677554,59.7166683873,66.4250016113,49.9583332936,55.5083336681,74.8583347127,59.391667525,52.5250005325,92
16.3750003576,13.8583337863,14.8666666746,18.3916671276,13.5916668574,14.8666670322,21.508333842,13.6666666269,15.3666666746,93
90.1666676681,62.7000016371,82.4500009418,91.8833347162,71.3250013987,77.0833330005,99.250002106,84.8750025431,70.633334736,94
43.0583332727,36.4249998778,40.0583345021,43.4333340526,35.0083345572,36.125000475,52.391667217,36.125000457,37.1833339855,95
90.1666676681,65.2166675329,82.4500009418,91.8833347162,71.3250013987,77.0833330005,99.250002106,84.8750025431,70.633334736,96
60.3666677556,52.0666682323,57.783333843,64.8333339095,46.8083349864,53.3166669856,71.9166693886,56.8750012716,49.5416671634,97
43.0583332727,36.4249998778,40.0583345021,43.4333340526,35.0083345572,36.125000475,52.391667217,36.125000457,37.1833339855,98
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,44.0750005127,45.0333338777,99
12.3916668097,10.6083336373,7.57499992351,10.4083336393,7.71666689714,9.29166701684,12.3666668932,7.98333360255,9.2916666468,100
65.9250003379,52.0666682323,59.7166683873,66.4250016113,49.9583332936,55.5083336681,74.8583347127,59.391667525,52.5250005325,101
15.0250002891,13.1500000084,7.66666685541,9.87500025456,8.37500008444,10.250000298,13.050000295,9.18333330999,10.4500002712,102
16.5250003617,14.7083332539,14.8666666746,18.7166668971,15.908333679,15.2916671087,21.508333842,13.6666666269,15.5000000248,103
29.800000752,27.7416670024,28.0250002394,30.9166672826,24.3333333284,25.3583336106,37.9833340396,25.1666672577,26.3916669084,104
31.1333336066,28.766666611,28.1000003219,31.9916668832,23.4916672707,26.6750007036,39.1000010868,26.1500002823,26.6500001612,105
69.2416672471,71.9833340446,63.2416671515,61.4166685939,46.5000015249,60.9499995311,83.2166673342,54.4833344302,59.1250013312,106
14.5500002565,12.2250001331,4.80833337704,9.53333338102,10.3333336065,9.36666673422,12.5250002543,9.15000011524,11.6666666071,107
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,108
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,109
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,110
51.9916680033,45.2833339572,35.8000006477,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,111
51.9916680033,45.2833339572,37.4500010113,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,112
23.52500091,19.5583334913,12.9250002286,15.0916665724,13.9250002901,15.966667374,20.7250003268,14.6750001609,17.1500004691,113
27.6833345816,23.5083337426,17.4916668994,18.1333336942,17.4499999235,20.0333337585,25.5166670283,18.2333337267,21.4666674609,114
33.8500004491,32.5000009735,30.0583333472,34.2000007828,23.4916672707,28.4750004659,42.0083346963,27.9250003695,28.225000153,115
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,116
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,117
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,118
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,119
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,120
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,121
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,122
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,123
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,124
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,125
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,126
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,127
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,128
43.2750009255,41.6083343228,33.8083335459,35.9999999454,27.7666673809,36.941667527,48.4333344897,31.7416673501,35.9750002387,129
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,130
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,131
155.316671054,142.24166886,180.291671435,150.500002225,150.375003298,153.600004435,162.50833257,163.258336211,130.008334239,132
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,133
39.4166672528,33.8416674932,27.7250004709,27.750000642,30.2749998296,31.6916674823,39.3833343188,29.2000002544,32.0500007967,134
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,135
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,136
34.8583340769,29.1833337992,20.500000303,24.2750006914,29.4500008225,29.241667514,36.4333339681,27.5750007393,31.1833345822,137
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,138
39.4166672528,33.8416674932,27.7250004709,27.750000642,30.2749998296,31.6916674823,39.3833343188,29.2000002544,32.0500007967,139
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,140
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,141
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,142
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,143
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,144
49.1083340794,43.5500008861,34.3333338102,37.5750002066,42.4000007113,45.3666679164,52.6833348473,42.0500004372,42.3083345275,145
146.425002654,153.9416701,175.408335686,147.416668892,143.508335114,150.433335066,162.04167064,153.208334635,128.533334653,146
143.883337657,161.283336798,173.808334668,142.633336067,140.941668113,147.391668955,162.608336528,149.283337931,128.033335129,147
146.475004514,175.008335908,178.650003433,144.341670036,132.508336385,155.208337466,185.316669782,142.475001554,134.166668892,148
70.6166679462,72.2750005722,63.1416673263,62.5250018835,49.9083343248,64.933333834,84.5250011285,58.7000007158,59.8166673283,149
51.9916680033,45.2833339572,37.4500010113,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,150
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,151
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,152
70.6166679462,72.2750005722,63.1416673263,62.5250018835,49.9083343248,64.933333834,84.5250011285,58.7000007158,59.8166673283,153
70.6166679462,72.2750005722,63.1416673263,62.5250018835,49.9083343248,64.933333834,84.5250011285,58.7000007158,59.8166673283,154
56.1416681707,52.2666668693,46.7083341281,44.858334283,45.933333993,56.0333336492,62.5416676601,49.8666675091,43.8500000834,155
56.1416681707,52.2666668693,46.7083341281,44.858334283,45.933333993,56.0333336492,62.5416676601,49.8666675091,43.8500000834,156
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,157
73.9916672309,76.6750023365,69.2166678508,64.5000017484,57.8500006,70.4416671594,87.0500001907,62.9333350658,61.6416675945,158
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,159
50.350001961,47.5916673442,44.7333342135,40.8666677003,39.350000374,46.6750013679,56.4250010401,41.5000013014,39.4000010968,160
73.9916672309,76.6750023365,69.2166678508,64.5000017484,57.8500006,70.4416671594,87.0500001907,62.9333350658,61.6416675945,161
69.2416672471,71.9833340446,63.2416671515,61.4166685939,46.5000015249,60.9499995311,83.2166673342,54.4833344302,59.1250013312,162
51.9916680033,45.2833339572,35.8000006477,37.5750002066,42.4000007113,45.3666679164,53.3333343069,42.0500004372,42.3083345275,163
51.9916680033,45.2833339572,37.4500010113,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,164
51.9916680033,45.2833339572,35.8000006477,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,165
56.1416681707,52.2666668693,46.7083341281,44.858334283,45.933333993,56.0333336492,62.5416676601,49.8666675091,43.8500000834,166
56.1416681707,52.2666668693,46.7083341281,44.858334283,45.933333993,56.0333336492,62.5416676601,49.8666675091,43.8500000834,167
