cru_ts_405_pre_yearly_mean.2012.min,cru_ts_405_pre_yearly_mean.2013.min,cru_ts_405_pre_yearly_mean.2014.min,cru_ts_405_pre_yearly_mean.2015.min,cru_ts_405_pre_yearly_mean.2016.min,cru_ts_405_pre_yearly_mean.2017.min,cru_ts_405_pre_yearly_mean.2018.min,cru_ts_405_pre_yearly_mean.2019.min,cru_ts_405_pre_yearly_mean.2020.min,id
14.3583336174,12.0833333315,5.36666668455,9.13333365135,9.00000035763,9.34166671832,12.0583334217,9.01666666071,10.6250000944,0
24.4916669689,20.4583337406,14.8000003385,15.4666668555,13.4500001005,17.433333685,22.7416672738,15.1000002225,17.1416668544,1
24.4916669689,20.4583337406,14.8000003385,15.4666668555,13.4500001005,17.433333685,22.7416672738,15.1000002225,17.1416668544,2
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,3
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,4
52.0333339274,50.4166680078,51.650000761,44.566667676,35.0249999265,44.525000453,56.0333336592,40.5333341422,38.1666668852,5
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,6
46.4000004077,45.8000002106,41.1666672577,40.7416669292,28.1333337228,40.0333344986,51.1750006676,34.2250005882,36.2416674693,7
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,8
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,9
27.8833342592,23.7416670819,17.8250006139,18.4666670741,13.5333337119,20.3583334666,27.0750005823,17.2583337526,19.2000003618,10
30.0416674366,24.8916665887,19.2250007515,20.1250002962,17.1583335623,21.8750000099,28.2666673213,19.2583339115,21.8166667931,11
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,12
19.3500002207,16.6416666458,10.0583334447,12.3500003498,11.2250000189,13.341666619,17.1583335511,11.9916666051,13.9500003656,13
29.6000009769,26.7250004162,19.7916667809,21.2083334507,21.4833331617,23.0666671445,28.8583344171,21.0750003935,24.0833341951,14
58.091667071,58.9166676998,56.0333344837,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,15
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,16
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,17
31.4083337697,29.2333340993,24.225000533,24.733333723,20.6250004719,25.7250006677,33.0833337257,23.0583342314,26.0000011623,18
27.6833345816,23.5083337426,17.4916668994,18.1333336942,17.4499999235,20.0333337585,25.5166670283,18.2333337267,21.4666674609,19
29.6000009769,26.7250004162,19.7916667809,21.2083334507,21.4833331617,23.0666671445,28.8583344171,21.0750003935,24.0833341951,20
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,21
72.425000747,82.8333354791,92.2666687965,84.3750021954,96.1416669687,96.2916681617,77.6916685582,52.9416669309,70.3333353996,22
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,23
43.2750009255,41.6083343228,33.8083335459,35.9999999454,27.7666673809,36.941667527,48.4333344897,31.7416673501,35.9750002387,24
37.5500001994,33.4416666826,23.9666670213,26.7083343746,27.8583337069,31.5583340426,38.8333339095,28.2250004212,30.4000005424,25
52.7000013242,51.4583340635,52.8666671018,45.2083337357,35.3916675113,45.8083338439,58.4416681131,39.9666670064,41.2333344345,26
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,27
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,28
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,29
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,30
72.0250012676,71.5833346844,76.4583349228,66.5250002543,57.5333340565,65.4416683515,71.7500005563,61.7333345016,56.0333349705,31
56.0833350321,55.2416678071,56.3333345254,49.6583338579,39.2083337108,48.7166671356,61.4750013351,44.8583338658,43.2333342433,32
66.4333346486,67.8833334843,68.3333346049,60.9166674614,48.5250016252,58.3750009537,72.708334287,54.7166683997,52.9500019948,33
66.4333346486,67.8833334843,68.3333346049,60.9166674614,47.4583341281,58.3750009537,72.708334287,53.4916677028,52.9500019948,34
33.8500004491,32.5000009735,30.0583333472,34.2000007828,23.0416671634,28.4750004659,42.0083346963,27.9250003695,28.225000153,35
29.5583338439,27.7416670024,27.8083337943,30.9166672826,23.4500001768,25.2666669618,37.9833340396,25.1666672577,26.1750007235,36
42.5250010205,37.9500006239,40.3666668683,43.0083341797,30.6000008881,36.5916672995,51.8416679949,36.6333337625,35.7416665753,37
137.150002797,147.058336099,144.616668065,127.841667493,102.716667215,123.700000763,158.591667811,107.733336359,118.458335241,38
31.7500006637,27.6750008812,22.5750007108,23.9000005573,16.1916668819,24.0166669432,32.3750005327,20.3916671599,22.1083334461,39
39.1916679405,36.1750009755,32.008333986,31.9916673663,21.9250006489,32.1333338991,41.2250014643,27.1083336274,29.1083337596,40
60.1583334704,54.7583336234,51.5250011285,51.0333343148,49.9000012676,61.53333504,67.3166676362,54.8083347244,47.0833339375,41
6.90833353996,5.34166661898,2.61666674415,5.15833343069,3.43333335718,4.38333340486,5.18333347638,4.11666675409,4.54166690509,42
60.1583334704,54.7583336234,51.5250011285,51.0333343148,49.9000012676,61.53333504,67.3166676362,54.8083347244,47.0833339375,43
10.4500002873,8.65833349278,2.99166668455,6.84999997914,7.47500012815,6.43333352606,8.24166674415,6.42500011126,8.11666693787,44
155.008337021,171.383336544,179.525003274,141.958335559,122.050002654,147.416667223,188.016668002,128.925000528,139.433336576,45
15.5416668157,13.8750002993,10.3250003209,12.5000002546,8.96666677793,11.9000001003,16.4750007639,10.5583334888,11.6416668097,46
25.5833335121,23.7333336994,17.6583339771,19.3083335956,13.3833333453,19.1333337904,27.2249997308,16.7333336075,17.9000000805,47
35.8416671082,26.1000003517,37.31666707,35.8916670084,29.4833338658,33.4500008325,39.8583344718,33.5833337667,29.3166672687,48
25.5833335121,23.7333336994,17.6583339771,19.3083335956,13.3833333453,19.1333337904,27.2249997308,16.7333336075,17.9000000805,49
25.5833335121,23.7333336994,17.6583339771,19.3083335956,13.3833333453,19.1333337904,27.2249997308,16.7333336075,17.9000000805,50
60.1583334704,54.7583336234,51.5250011285,51.0333343148,49.9000012676,61.53333504,67.3166676362,54.8083347244,47.0833339375,51
52.0333339274,50.4166680078,51.7333341837,44.566667676,35.4000008752,44.525000453,56.0333336592,40.791667521,38.9916677972,52
52.0333339274,50.4166680078,51.650000761,44.566667676,35.0249999265,44.525000453,56.0333336592,40.5333341422,38.1666668852,53
78.1916673382,82.2666680813,81.3166670799,73.1500008901,58.5166680018,70.4500010808,89.0916692416,63.766667972,65.6250012716,54
72.0250012676,71.5833346844,76.4583349228,66.5250002543,57.5333340565,65.4416683515,71.7500005563,61.7333345016,56.0333349705,55
132.31667153,152.183336417,138.116669019,130.775001208,105.316668034,132.65833505,165.10000356,120.183337688,115.975002448,56
126.900004148,139.808334629,144.683336099,110.024999936,102.441668232,117.900003503,145.233334293,106.441667219,112.533334732,57
113.558334986,114.175002416,120.158335686,99.0083343188,84.8750025034,96.5333346526,119.491669814,80.9666680495,92.4500015577,58
70.6166679462,72.2750005722,63.1416673263,62.5250018835,49.9083343248,64.933333834,84.5250011285,58.7000007158,59.8166673283,59
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,60
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,61
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,62
31.4083337697,28.7833338529,23.3916668743,23.5583336633,18.1750004503,25.3583337447,32.7833338032,21.6416669389,24.0416668653,63
23.2000003283,20.0250004133,12.8083334267,15.4416666888,15.2583338022,15.8583335479,20.6666669759,14.7166668276,17.9250003857,64
32.5416668815,30.5916669667,24.4583340784,27.6833337943,18.7000004599,25.4750001132,36.1833342196,23.7750004654,24.4500004003,65
11.5500004453,9.13333352407,3.08333336314,8.05833339691,9.72500052055,7.04166680574,9.32500010729,7.25833324591,9.82499998808,66
10.4500002873,8.65833349278,2.99166668455,6.84999997914,7.47500012815,6.43333352606,8.24166674415,6.42500011126,8.11666693787,67
85.2416685025,83.6750014623,89.2166678111,72.3500011762,68.4833340247,73.933335046,80.2416680455,57.3083350261,65.775001049,68
106.150001725,108.050001939,110.833335241,94.4750006994,78.2083348433,90.1416676839,111.075002193,78.9583342572,85.041668733,69
117.075000226,135.250002772,142.85000356,104.883334955,101.433335215,118.133336673,143.658334669,107.116669973,110.241669575,70
10.4500002873,8.65833349278,2.99166668455,6.84999997914,7.47500012815,6.43333352606,8.24166674415,6.42500011126,8.11666693787,71
56.6750016889,48.3583341837,53.8833350539,58.8166681131,42.0333334605,49.9416677256,66.4666686356,50.6833345735,46.2000004351,72
121.275004451,142.641668836,154.550002257,109.750000795,110.141667843,129.216668559,151.500003116,119.458336771,116.958334287,73
117.075000226,136.941669464,149.850000381,107.28333346,104.050000876,124.941668034,146.291670418,113.283335388,113.133334239,74
51.9916680033,45.2833339572,35.8000006477,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,75
31.7500006637,27.6750008812,22.5750007108,23.9000005573,16.1916668819,24.0166669432,32.3750005327,20.3916671599,22.1083334461,76
39.1916679405,36.1750009755,32.008333986,31.9916673663,21.9250006489,32.1333338991,41.2250014643,27.1083336274,29.1083337596,77
4.30833339691,2.98333334923,1.23333333184,3.64166666692,2.56666663289,2.70000008742,2.94166670243,2.85833340883,3.09166675806,78
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,79
52.7000013242,51.4583340635,52.8666671018,45.2083337357,35.3916675113,45.8083338439,58.4416681131,39.9666670064,41.2333344345,80
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,81
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,82
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,83
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,84
58.091667071,58.9166676998,56.0333344837,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,85
53.4000018599,51.8916668197,51.650000761,45.2000012596,35.0249999265,44.9583343665,57.3666687608,40.5333341422,38.1666668852,86
66.4333346486,67.8833334843,68.3333346049,60.9166674614,47.4583341281,58.3750009537,72.708334287,53.4916677028,52.9500019948,87
78.1916673382,82.2666680813,81.3166670799,73.1500008901,58.5166680018,70.4500010808,89.0916692416,63.766667972,65.6250012716,88
117.075000226,121.108335535,121.366669099,99.7166690826,101.908335567,115.875002682,132.608335237,104.216669162,104.316668113,89
78.1916673382,82.2666680813,81.3166670799,73.1500008901,58.5166680018,70.4500010808,89.0916692416,63.766667972,65.6250012716,90
14.9000000159,11.5416668355,10.7333333492,13.8750004371,10.4666668971,12.2666668793,16.8166668415,10.7083334525,12.4083336194,91
29.800000752,27.3916671127,28.0250002394,30.5750010312,24.3333333284,25.3583336106,37.8250003258,24.3416670511,26.3916669084,92
16.3750003576,13.8583337863,14.8666666746,18.3916671276,13.5916668574,14.8666670322,21.508333842,13.6666666269,15.3666666746,93
51.2166677813,36.666667064,54.3250012596,53.9750008186,43.7666676442,47.3083342363,60.3166673382,50.8083343984,41.6416675846,94
27.9166674962,26.2166667705,26.6833333895,29.6666672826,23.4500001768,25.2666669618,35.8000005782,22.816667065,25.7916672907,95
65.9250003379,51.9416677554,59.7166683873,66.4250016113,49.9583332936,55.5083336681,74.8583347127,59.391667525,52.5250005325,96
38.0416679482,34.658333679,36.3833334645,39.3500010371,29.9083339075,32.5583333833,47.9166675011,33.1500005821,32.6666671646,97
29.5583338439,27.3916671127,27.8083337943,30.5750010312,23.4500001768,25.2666669618,37.8250003258,24.3416670511,26.1750007235,98
53.4000018599,51.8916668197,51.650000761,45.2000012596,35.0249999265,44.9583343665,57.3666687608,40.5333341422,38.1666668852,99
9.47500022252,7.35000008841,4.55833333731,7.28333351637,4.86666676899,6.42500016093,8.2166668127,5.55000001689,6.4666668276,100
38.0416679482,34.658333679,36.3833334645,39.3500010371,29.9083339075,32.5583333833,47.9166675011,33.1500005821,32.6666671646,101
7.26666680972,5.2333334287,2.72500011822,5.3583333989,3.66666682561,4.70833333333,5.44166676203,4.50833336512,4.94166668256,102
7.51666696866,5.45833353202,2.8083333994,5.75000011921,3.75000011921,4.63333336512,5.70833337307,4.15833330154,4.76666676998,103
29.5583338439,27.3916671127,27.8083337943,30.5750010312,23.4500001768,25.2666669618,37.8250003258,24.3416670511,26.1750007235,104
29.5583338439,27.7416670024,27.8083337943,30.9166672826,23.4500001768,25.2666669618,37.9833340396,25.1666672577,26.1750007235,105
67.7833333214,70.7583350738,56.9750010769,60.5666678051,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,106
14.5500002565,12.2250001331,4.80833337704,9.53333338102,10.3333336065,9.36666673422,12.5250002543,9.15000011524,11.6666666071,107
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,108
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,109
33.191666623,28.7833338529,23.3916668743,23.5583336633,18.1750004503,25.3583337447,32.7833338032,21.6416669389,24.0416668653,110
51.9916680033,45.2833339572,35.8000006477,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,111
34.8583340769,29.1833337992,20.500000303,24.2750006914,27.8583337069,29.241667514,36.4333339681,27.5750007393,30.4000005424,112
19.3500002207,16.6416666458,10.0583334447,12.3500003498,11.2250000189,13.341666619,17.1583335511,11.9916666051,13.9500003656,113
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,114
24.9166668262,23.6916675319,21.3416668822,25.6833340973,18.7416671067,21.5000005495,31.2083335469,20.5083335936,21.5416666276,115
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,116
31.4083337697,29.2333340993,24.225000533,24.733333723,20.6250004719,25.7250006677,33.0833337257,23.0583342314,26.0000011623,117
46.4000004077,45.8000002106,41.1666672577,40.7416669292,28.1333337228,40.0333344986,51.1750006676,34.2250005882,36.2416674693,118
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,119
57.5916672399,58.1666688522,54.0750010014,50.9666674038,36.816666911,49.433334291,63.4500018756,43.933334291,42.3833339115,120
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,121
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,122
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,123
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,124
43.2750009255,41.6083343228,33.8083335459,35.9999999454,27.7666673809,36.941667527,48.4333344897,31.7416673501,35.9750002387,125
30.0416674366,24.8916665887,19.2250007515,20.1250002962,17.1583335623,21.8750000099,28.2666673213,19.2583339115,21.8166667931,126
23.52500091,19.5583334913,12.9250002286,15.0916665724,13.9250002901,15.966667374,20.7250003268,14.6750001609,17.1500004691,127
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,128
31.4083337697,29.2333340993,24.225000533,24.733333723,20.6250004719,25.7250006677,33.0833337257,23.0583342314,26.0000011623,129
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,130
52.7000013242,51.4583340635,52.8666671018,45.2083337357,35.3916675113,45.8083338439,58.4416681131,39.9666670064,41.2333344345,131
145.216667573,135.825001558,166.541667144,147.125004609,141.85000356,146.450001637,151.325002511,154.300005039,116.708334605,132
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,133
29.6000009769,26.7250004162,19.7916667809,21.2083334507,21.4833331617,23.0666671445,28.8583344171,21.0750003935,24.0833341951,134
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,135
31.4083337697,29.2333340993,24.225000533,23.8333336562,20.6250004719,25.7250006677,33.0833337257,23.0583342314,26.0000011623,136
30.4500007605,21.3166670886,15.6833336428,21.391666788,27.350000605,25.2916669014,32.175000616,24.700000314,29.8250001793,137
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,138
17.2833336573,14.2583333651,6.27500018726,12.4416668614,14.3083333652,11.7500004073,15.9833336355,11.608333682,15.4083334928,139
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,140
52.7000013242,51.4583340635,52.8666671018,45.2083337357,35.3916675113,45.8083338439,58.4416681131,39.9666670064,41.2333344345,141
33.8249998832,30.5000003825,24.2416669428,23.8333336562,23.3916672431,27.2000001594,33.8583332698,24.6000004609,27.3666667193,142
37.5500001994,33.8416674932,27.7250004709,26.7083343746,27.8583337069,31.5583340426,38.8333339095,28.2250004212,30.4000005424,143
37.5500001994,33.8416674932,27.7250004709,26.7083343746,27.8583337069,31.5583340426,38.8333339095,28.2250004212,30.4000005424,144
34.8583340769,29.1833337992,20.500000303,24.2750006914,29.4500008225,29.241667514,36.4333339681,27.5750007393,31.1833345822,145
139.083334287,147.116671721,173.033336639,141.341670513,136.883334478,146.991670171,160.625000318,142.858334303,125.458333492,146
136.300002575,150.091669162,172.700000445,131.958334446,131.266668797,142.550003201,160.625000318,138.449998935,123.850002607,147
132.825002789,156.125000715,168.67500337,128.925001939,127.100001971,141.791668157,161.491670291,133.500003974,124.491670291,148
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,149
37.5500001994,33.8416674932,27.7250004709,26.7083343746,27.8583337069,31.5583340426,38.8333339095,28.2250004212,30.4000005424,150
37.5500001994,33.8416674932,27.7250004709,26.7083343746,27.8583337069,31.5583340426,38.8333339095,28.2250004212,30.4000005424,151
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,152
70.6166679462,72.2750005722,63.1416673263,62.5250018835,49.9083343248,64.933333834,84.5250011285,58.7000007158,59.8166673283,153
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,154
56.1416681707,52.2666668693,46.7083341281,44.858334283,45.933333993,56.0333336492,62.5416676601,49.8666675091,43.8500000834,155
49.541668271,44.0083339214,35.8000006477,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,156
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,157
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,158
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,159
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,160
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,161
43.2750009255,41.6083343228,33.8083335459,35.9999999454,27.7666673809,36.941667527,48.4333344897,31.7416673501,35.9750002387,162
49.1083340794,43.5500008861,34.3333338102,36.7416678518,40.2416674594,44.4833337863,52.6833348473,40.5833335718,40.7333343724,163
49.541668271,44.0083339214,35.8000006477,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,164
51.9916680033,45.2833339572,35.8000006477,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,165
56.1416681707,52.2666668693,46.7083341281,44.858334283,45.933333993,56.0333336492,62.5416676601,49.8666675091,43.8500000834,166
49.541668271,44.0083339214,35.8000006477,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,167
